普通の言い方,尊敬,謙譲,不明
鞄,お鞄,鞄,（お）鞄
電話,お電話,電話,（お）電話
酒,お酒,酒,（お）酒
料理,お料理,料理,（お）料理
天気,お天気,天気,（お）天気
祝儀,ご祝儀,祝儀,（ご）祝儀
挨拶,ご挨拶,挨拶,（ご）挨拶
結婚,ご結婚,結婚,（ご）結婚
連絡,ご連絡,連絡,（ご）連絡
機嫌,ご機嫌,機嫌,（ご）機嫌
魚,お魚,魚,（お）魚
本,ご本,本,（ご）本
菓子,お菓子,菓子,（お）菓子
米,お米,米,（お）米
掃除,お掃除,掃除,（お）掃除
心遣い,お心遣い,心遣い,（お）心遣い
願い,お願い,願い,（お）願い
便り,お便り,便り,（お）便り
薬,お薬,薬,（お）薬
礼,お礼,礼,（お）礼
手伝い,お手伝い,手伝い,（お）手伝い
悩み,お悩み,悩み,（お）悩み
好み,お好み,好み,（お）好み
隣,お隣,隣,（お）隣
花,お花,花,（お）花
刺身,お刺身,刺身,（お）刺身
芝居,お芝居,芝居,（お）芝居
年寄り,お年寄り,年寄り,（お）年寄り
味,お味,味,（お）味
取り寄せ,お取り寄せ,取り寄せ,（お）取り寄せ
互い,お互い,互い,（お）互い
金,お金,金,（お）金
弁当,お弁当,弁当,（お）弁当
勉強,お勉強,勉強,（お）勉強
すすめ,おすすめ,すすめ,（お）すすめ
茶,お茶,茶,（お）茶
世話,お世話,世話,（お）世話
時間,お時間,時間,（お）時間
決まり,お決まり,決まり,（お）決まり
久しぶり,お久しぶり,久しぶり,（お）久しぶり
祝い,お祝い,祝い,（お）祝い
昼,お昼,昼,（お）昼
部屋,お部屋,部屋,（お）部屋
鍋,お鍋,鍋,（お）鍋
仕事,お仕事,仕事,（お）仕事
休み,お休み,休み,（お）休み
誕生日,お誕生日,誕生日,（お）誕生日
墓,お墓,墓,（お）墓
迷惑,ご迷惑,迷惑,（ご）迷惑
予約,ご予約,予約,（ご）予約
予定,ご予定,予定,（ご）予定
予算,ご予算,予算,（ご）予算
気持ち,お気持ち,気持ち,（お）気持ち
客,お客様,客,（お）客様
給料,お給料,給料,（お）給料
支度,お支度,支度,（お）支度
土産,お土産,土産,（お）土産
知らせ,お知らせ,知らせ,（お）知らせ
説教,お説教,説教,（お）説教
試し,お試し,試し,（お）試し
勤め,お勤め,勤め,（お）勤め
手入れ,お手入れ,手入れ,（お）手入れ
手柄,お手柄,手柄,（お）手柄
手間,お手間,手間,（お）手間
引っ越し,お引っ越し,引っ越し,（お）引っ越し
迎え,お迎え,迎え,（お）迎え
約束,お約束,約束,（お）約束
愛用,ご愛用,愛用,（ご）愛用
