普通の言い方,尊敬語,謙譲語
俺,私,私
僕,私,私
お前,あなた,あなた
夫,ご主人,夫
夫,ご主人,主人
夫,旦那様,夫
夫,旦那様,主人
妻,奥様,妻
妻,奥様,家内
妻,御奥様,妻
妻,御奥様,家内
父,お父様,父
父,お父様,老父
父,父上様,父
父,父上様,老父
母,お母様,母
母お母様,老母
母,母上様,母
母,母上様,老母
両親,ご両親様,両親
両親,ご両親様,父母
両親,お父様お母様,両親
両親,お父様お母様,父母
祖父,おじい様,祖父
祖母,おばあ様,祖母
子供,お子様,子供
子供,お子さん,子供
息子,ご子息,息子
息子,ご子息,倅
娘,お嬢様,娘
兄,お兄様,兄
兄,兄上様,兄
姉,お姉様,姉
姉,姉上様,姉
弟,弟様,弟
弟,弟君,弟
妹,妹様,妹
妹,妹君,妹
叔父,叔父様,叔父
伯父,伯父様,伯父
叔母,叔母様,叔母
伯母,伯母様,伯母
甥,甥御様,甥
姪,姪御様,姪
親族,ご親族,親族
親族,ご家族,親族
家族,ご親族,家族
家族,ご家族,家族
友人,ご友人,友人
友人,お友達,友人
友達,ご友人,友達
友達,お友達,友達
先生,先生,先生
先生,御師匠,恩師
先生,先生,恩師
